1;Original;Metric25;Metric50;Metric75;Interval25;Interval50;Interval75;TIVCos25;TIVCos50;TIVCos75;TIVEuc25;TIVEuc50;TIVEuc75;AllCos25;AllCos50;AllCos75;AllEuc25;AllEuc50;AllEuc75
SIAM;-0.208232876;-0.235141818;-0.317686051;-0.22269189;-0.235141818;-0.317686051;-0.22269189;-0.186903497;-0.203637651;-0.214661133;-0.186903497;-0.203637651;-0.214661133;-0.186903497;-0.203637651;-0.214661133;-0.186903497;-0.203637651;-0.214661133
Local Alignment;0.663548844;0.616219815;0.635408444;0.655215397;0.616219815;0.635408444;0.655215397;0.182325785;0.215598068;0.555001521;0.531959935;0.345209744;0.506893658;0.428322585;0.567806766;0.644116946;0.146181555;0.536072887;0.639200444
City Block;-0.108757935;-0.212684492;-0.099186876;-0.086192395;-0.212684492;-0.099186876;-0.086192395;0.045309478;0.367123068;-0.090045602;-0.147567871;-0.045521717;0.051210567;-0.259086257;-0.311207226;-0.152558187;-0.171430861;0.106451483;-0.26927218
Euclidean;-0.387688797;-0.316797744;-0.386182771;-0.422453923;-0.316797744;-0.386182771;-0.422453923;0.017162807;0.228967747;-0.166002673;-0.137932188;-0.200227397;-0.184683873;-0.308832492;-0.40673342;-0.359429896;-0.272371799;-0.141495548;-0.435929703
Hamming;-0.295930841;-0.26690316;-0.251338168;-0.314186869;-0.26690316;-0.251338168;-0.314186869;-0.136125511;-0.054424785;-0.529189522;-0.240873915;-0.232186169;-0.339527795;-0.407692139;-0.382049258;-0.20165947;-0.299416635;-0.09738758;-0.474363267
Correlation;-0.617730395;-0.619391153;-0.50234031;-0.585270399;-0.619391153;-0.50234031;-0.585270399;-0.060257832;-0.054772882;-0.37554516;nan;-0.57491535;-0.258731093;-0.161072154;-0.486255552;-0.551155011;-0.359426682;-0.336998608;-0.598851342
Cardinality;0.581873757;0.385041464;0.500132918;0.567296292;0.385041464;0.500132918;0.567296292;0.552116128;0.526727217;0.59635062;0.556391455;0.489741646;0.571134427;0.671593363;0.588313226;0.577397844;0.588242473;0.634608829;0.631405126
;;;;;;;;;;;;;;;;;;;
2;Original;Metric25;Metric50;Metric75;Interval25;Interval50;Interval75;TIVCos25;TIVCos50;TIVCos75;TIVEuc25;TIVEuc50;TIVEuc75;AllCos25;AllCos50;AllCos75;AllEuc25;AllEuc50;AllEuc75
SIAM;-0.107997755;-0.161679087;-0.206601779;-0.119462593;-0.161679087;-0.206601779;-0.119462593;-0.102566906;-0.110581829;-0.109594336;-0.102566906;-0.110581829;-0.109594336;-0.102566906;-0.110581829;-0.109594336;-0.102566906;-0.110581829;-0.109594336
Local Alignment;0.721547808;0.491860334;0.697610422;0.701443334;0.491860334;0.697610422;0.701443334;0.151755491;0.215343412;0.602974109;0.554800694;0.3972496;0.526303782;0.381269755;0.539846603;0.658119544;0.21134765;0.566575392;0.670945872
City Block;-0.255206303;-0.086396847;-0.285713035;-0.228660685;-0.086396847;-0.285713035;-0.228660685;0.027377363;0.24611048;-0.026583066;-0.257603015;-0.146826617;-0.037977703;-0.139847714;-0.209564959;-0.185258256;-0.206841784;0.016540268;-0.190783992
Euclidean;-0.550129829;-0.288365769;-0.533444982;-0.54422081;-0.288365769;-0.533444982;-0.54422081;-0.0286639;0.043806659;-0.174104266;-0.27892007;-0.372606263;-0.298168669;-0.189050891;-0.356388364;-0.440845249;-0.309695948;-0.244321978;-0.404988457
Hamming;-0.304230322;-0.049884742;-0.149546025;-0.285458758;-0.049884742;-0.149546025;-0.285458758;-0.06717314;-0.028094343;-0.469684773;-0.272013351;-0.195009662;-0.42747201;-0.379533699;-0.293338352;-0.193117461;-0.341672963;-0.136356209;-0.482079677
Correlation;-0.850845904;-0.610458322;-0.792578743;-0.792662413;-0.610458322;-0.792578743;-0.792662413;-0.143709462;-0.021572313;-0.315839277;nan;-0.509803201;-0.438893013;0.006059906;-0.480098334;-0.604986475;-0.454550711;-0.565226031;-0.657412332
Cardinality;0.640801055;0.301921037;0.514275849;0.609547454;0.301921037;0.514275849;0.609547454;0.579519663;0.642403892;0.659254543;0.670983512;0.54925249;0.661991609;0.730569136;0.696357099;0.686206605;0.690540744;0.695204158;0.703653047
;;;;;;;;;;;;;;;;;;;
