 ,Original,Metric25,Metric50,Metric75,Intervallic25,Intervallic50,Intervallic75,TIVCos25,TIVCos50,TIVCos75,TIVEuc25,TIVEuc50,TIVEuc75,AllCos25,AllCos50,AllCos75,AllEuc25,AllEuc50,AllEuc75
SIAM,"(-0.208, 'ns')","(-0.235, 'ns')","(-0.318, 'ns')","(-0.223, 'ns')","(-0.187, 'ns')","(-0.204, 'ns')","(-0.215, 'ns')","(-0.187, 'ns')","(-0.204, 'ns')","(-0.215, 'ns')","(-0.187, 'ns')","(-0.204, 'ns')","(-0.215, 'ns')","(-0.187, 'ns')","(-0.204, 'ns')","(-0.215, 'ns')","(-0.187, 'ns')","(-0.204, 'ns')","(-0.215, 'ns')"
Local Alignment,"(0.664, '****')","(0.616, '***')","(0.635, '***')","(0.655, '****')","(0.176, 'ns')","(0.231, 'ns')","(0.628, '***')","(0.182, 'ns')","(0.216, 'ns')","(0.555, '**')","(0.532, '**')","(0.345, 'ns')","(0.507, '**')","(0.428, '*')","(0.568, '**')","(0.644, '***')","(0.146, 'ns')","(0.536, '**')","(0.639, '***')"
City Block,"(-0.109, 'ns')","(-0.213, 'ns')","(-0.099, 'ns')","(-0.086, 'ns')","(-0.126, 'ns')","(0.184, 'ns')","(-0.13, 'ns')","(0.045, 'ns')","(0.367, '*')","(-0.09, 'ns')","(-0.148, 'ns')","(-0.046, 'ns')","(0.051, 'ns')","(-0.259, 'ns')","(-0.311, 'ns')","(-0.153, 'ns')","(-0.171, 'ns')","(0.106, 'ns')","(-0.269, 'ns')"
Euclidean,"(-0.388, '*')","(-0.317, 'ns')","(-0.386, '*')","(-0.422, '*')","(-0.36, 'ns')","(-0.079, 'ns')","(-0.343, 'ns')","(0.017, 'ns')","(0.229, 'ns')","(-0.166, 'ns')","(-0.138, 'ns')","(-0.2, 'ns')","(-0.185, 'ns')","(-0.309, 'ns')","(-0.407, '*')","(-0.359, 'ns')","(-0.272, 'ns')","(-0.141, 'ns')","(-0.436, '*')"
Hamming,"(-0.296, 'ns')","(-0.267, 'ns')","(-0.251, 'ns')","(-0.314, 'ns')","(-0.129, 'ns')","(0.068, 'ns')","(-0.18, 'ns')","(-0.136, 'ns')","(-0.054, 'ns')","(-0.529, '**')","(-0.241, 'ns')","(-0.232, 'ns')","(-0.34, 'ns')","(-0.408, '*')","(-0.382, '*')","(-0.202, 'ns')","(-0.299, 'ns')","(-0.097, 'ns')","(-0.474, '**')"
Correlation,"(-0.618, '***')","(-0.619, '***')","(-0.502, '**')","(-0.585, '***')","(-0.419, '*')","(-0.159, 'ns')","(-0.602, '***')","(-0.06, 'ns')","(-0.055, 'ns')","(-0.376, '*')","(nan, '*')","(-0.575, '***')","(-0.259, 'ns')","(-0.161, 'ns')","(-0.486, '**')","(-0.551, '**')","(-0.359, 'ns')","(-0.337, 'ns')","(-0.599, '***')"
Cardinality,"(0.582, '***')","(0.385, '*')","(0.5, '**')","(0.567, '**')","(0.618, '***')","(0.56, '**')","(0.659, '****')","(0.552, '**')","(0.527, '**')","(0.596, '***')","(0.556, '**')","(0.49, '**')","(0.571, '***')","(0.672, '****')","(0.588, '***')","(0.577, '***')","(0.588, '***')","(0.635, '***')","(0.631, '***')"
 ,Original,Metric25,Metric50,Metric75,Intervallic25,Intervallic50,Intervallic75,TIVCos25,TIVCos50,TIVCos75,TIVEuc25,TIVEuc50,TIVEuc75,AllCos25,AllCos50,AllCos75,AllEuc25,AllEuc50,AllEuc75
SIAM,"(-0.108, 'ns')","(-0.162, 'ns')","(-0.207, 'ns')","(-0.119, 'ns')","(-0.103, 'ns')","(-0.111, 'ns')","(-0.11, 'ns')","(-0.103, 'ns')","(-0.111, 'ns')","(-0.11, 'ns')","(-0.103, 'ns')","(-0.111, 'ns')","(-0.11, 'ns')","(-0.103, 'ns')","(-0.111, 'ns')","(-0.11, 'ns')","(-0.103, 'ns')","(-0.111, 'ns')","(-0.11, 'ns')"
Local Alignment,"(0.722, '****')","(0.492, '**')","(0.698, '****')","(0.701, '****')","(0.123, 'ns')","(0.239, 'ns')","(0.645, '***')","(0.152, 'ns')","(0.215, 'ns')","(0.603, '***')","(0.555, '**')","(0.397, '*')","(0.526, '**')","(0.381, '*')","(0.54, '**')","(0.658, '****')","(0.211, 'ns')","(0.567, '**')","(0.671, '****')"
City Block,"(-0.255, 'ns')","(-0.086, 'ns')","(-0.286, 'ns')","(-0.229, 'ns')","(-0.04, 'ns')","(0.151, 'ns')","(-0.156, 'ns')","(0.027, 'ns')","(0.246, 'ns')","(-0.027, 'ns')","(-0.258, 'ns')","(-0.147, 'ns')","(-0.038, 'ns')","(-0.14, 'ns')","(-0.21, 'ns')","(-0.185, 'ns')","(-0.207, 'ns')","(0.017, 'ns')","(-0.191, 'ns')"
Euclidean,"(-0.55, '**')","(-0.288, 'ns')","(-0.533, '**')","(-0.544, '**')","(-0.322, 'ns')","(-0.184, 'ns')","(-0.415, '*')","(-0.029, 'ns')","(0.044, 'ns')","(-0.174, 'ns')","(-0.279, 'ns')","(-0.373, '*')","(-0.298, 'ns')","(-0.189, 'ns')","(-0.356, 'ns')","(-0.441, '*')","(-0.31, 'ns')","(-0.244, 'ns')","(-0.405, '*')"
Hamming,"(-0.304, 'ns')","(-0.05, 'ns')","(-0.15, 'ns')","(-0.285, 'ns')","(-0.039, 'ns')","(0.132, 'ns')","(-0.172, 'ns')","(-0.067, 'ns')","(-0.028, 'ns')","(-0.47, '**')","(-0.272, 'ns')","(-0.195, 'ns')","(-0.427, '*')","(-0.38, '*')","(-0.293, 'ns')","(-0.193, 'ns')","(-0.342, 'ns')","(-0.136, 'ns')","(-0.482, '**')"
