1;Original;Metric25;Metric50;Metric75;Interval25;Interval50;Interval75;TIVCos25;TIVCos50;TIVCos75;TIVEuc25;TIVEuc50;TIVEuc75;AllCos25;AllCos50;AllCos75;AllEuc25;AllEuc50;AllEuc75
SIAM;0.043360931;0.055291674;0.100924427;0.049591678;0.055291674;0.100924427;0.049591678;0.034932917;0.041468293;0.046079402;0.034932917;0.041468293;0.046079402;0.034932917;0.041468293;0.046079402;0.034932917;0.041468293;0.046079402
Local Alignment;0.440297068;0.37972686;0.403743891;0.429307217;0.37972686;0.403743891;0.429307217;0.033242692;0.046482527;0.308026688;0.282981373;0.119169767;0.256941181;0.183460237;0.322404524;0.41488664;0.021369047;0.28737414;0.408577207
City Block;0.011828288;0.045234693;0.009838036;0.007429129;0.045234693;0.009838036;0.007429129;0.002052949;0.134779347;0.00810821;0.021776276;0.002072227;0.002622522;0.067125689;0.096849937;0.023274;0.02938854;0.011331918;0.072507507
Euclidean;0.150302603;0.100360811;0.149137132;0.178467317;0.100360811;0.149137132;0.178467317;0.000294562;0.052426229;0.027556887;0.019025288;0.040091011;0.034108133;0.095377508;0.165432075;0.12918985;0.074186397;0.02002099;0.190034706
Hamming;0.087575063;0.071237297;0.063170875;0.098713388;0.071237297;0.063170875;0.098713388;0.018530155;0.002962057;0.28004155;0.058020243;0.053910417;0.115279124;0.16621288;0.145961636;0.040666542;0.089650322;0.009484341;0.225020509
Correlation;0.381590841;0.3836454;0.252345787;0.34254144;0.3836454;0.252345787;0.34254144;0.003631006;0.003000069;0.141034167;nan;0.33052766;0.066941779;0.025944239;0.236444462;0.303771846;0.12918754;0.113568062;0.35862293
Cardinality;0.338577069;0.148256929;0.250132935;0.321825083;0.148256929;0.250132935;0.321825083;0.304832219;0.277441561;0.355634062;0.309571451;0.23984688;0.326194534;0.451037646;0.346112452;0.333388271;0.346029207;0.402728366;0.398672433
;;;;;;;;;;;;;;;;;;;
2;Original;Metric25;Metric50;Metric75;Interval25;Interval50;Interval75;TIVCos25;TIVCos50;TIVCos75;TIVEuc25;TIVEuc50;TIVEuc75;AllCos25;AllCos50;AllCos75;AllEuc25;AllEuc50;AllEuc75
SIAM;0.011663515;0.026140127;0.042684295;0.014271311;0.026140127;0.042684295;0.014271311;0.01051997;0.012228341;0.012010919;0.01051997;0.012228341;0.012010919;0.01051997;0.012228341;0.012010919;0.01051997;0.012228341;0.012010919
Local Alignment;0.520631239;0.241926588;0.486660301;0.49202275;0.241926588;0.486660301;0.49202275;0.023029729;0.046372785;0.363577776;0.30780381;0.157807245;0.276995671;0.145366626;0.291434355;0.433121334;0.044667829;0.321007675;0.450168363
City Block;0.065130257;0.007464415;0.081631939;0.052285709;0.007464415;0.081631939;0.052285709;0.00074952;0.060570368;0.000706659;0.066359313;0.021558055;0.001442306;0.019557383;0.043917472;0.034320621;0.042783524;0.00027358;0.036398531
Euclidean;0.302642828;0.083154817;0.284563548;0.29617629;0.083154817;0.284563548;0.29617629;0.000821619;0.001919023;0.030312295;0.077796405;0.138835427;0.088904555;0.035740239;0.127012666;0.194344534;0.09591158;0.059693229;0.16401565
