 ,Original,Metric25,Metric50,Metric75,Intervallic25,Intervallic50,Intervallic75,TIVCos25,TIVCos50,TIVCos75,TIVEuc25,TIVEuc50,TIVEuc75,AllCos25,AllCos50,AllCos75,AllEuc25,AllEuc50,AllEuc75
SIAM,0.043,0.055,0.101,0.05,0.035,0.041,0.046,0.035,0.041,0.046,0.035,0.041,0.046,0.035,0.041,0.046,0.035,0.041,0.046
Local Alignment,0.44,0.38,0.404,0.429,0.031,0.053,0.394,0.033,0.046,0.308,0.283,0.119,0.257,0.183,0.322,0.415,0.021,0.287,0.409
City Block,0.012,0.045,0.01,0.007,0.016,0.034,0.017,0.002,0.135,0.008,0.022,0.002,0.003,0.067,0.097,0.023,0.029,0.011,0.073
Euclidean,0.15,0.1,0.149,0.178,0.129,0.006,0.118,0.0,0.052,0.028,0.019,0.04,0.034,0.095,0.165,0.129,0.074,0.02,0.19
Hamming,0.088,0.071,0.063,0.099,0.017,0.005,0.032,0.019,0.003,0.28,0.058,0.054,0.115,0.166,0.146,0.041,0.09,0.009,0.225
Correlation,0.382,0.384,0.252,0.343,0.175,0.025,0.363,0.004,0.003,0.141,nan,0.331,0.067,0.026,0.236,0.304,0.129,0.114,0.359
Cardinality,0.339,0.148,0.25,0.322,0.382,0.314,0.434,0.305,0.277,0.356,0.31,0.24,0.326,0.451,0.346,0.333,0.346,0.403,0.399
 ,Original,Metric25,Metric50,Metric75,Intervallic25,Intervallic50,Intervallic75,TIVCos25,TIVCos50,TIVCos75,TIVEuc25,TIVEuc50,TIVEuc75,AllCos25,AllCos50,AllCos75,AllEuc25,AllEuc50,AllEuc75
SIAM,0.012,0.026,0.043,0.014,0.011,0.012,0.012,0.011,0.012,0.012,0.011,0.012,0.012,0.011,0.012,0.012,0.011,0.012,0.012
Local Alignment,0.521,0.242,0.487,0.492,0.015,0.057,0.416,0.023,0.046,0.364,0.308,0.158,0.277,0.145,0.291,0.433,0.045,0.321,0.45
City Block,0.065,0.007,0.082,0.052,0.002,0.023,0.024,0.001,0.061,0.001,0.066,0.022,0.001,0.02,0.044,0.034,0.043,0.0,0.036
Euclidean,0.303,0.083,0.285,0.296,0.104,0.034,0.172,0.001,0.002,0.03,0.078,0.139,0.089,0.036,0.127,0.194,0.096,0.06,0.164
Hamming,0.093,0.002,0.022,0.081,0.002,0.017,0.03,0.005,0.001,0.221,0.074,0.038,0.183,0.144,0.086,0.037,0.117,0.019,0.232
Correlation,0.724,0.373,0.628,0.628,0.175,0.08,0.45,0.021,0.0,0.1,nan,0.26,0.193,0.0,0.23,0.366,0.207,0.319,0.432
Cardinality,0.411,0.091,0.264,0.372,0.439,0.265,0.372,0.336,0.413,0.435,0.45,0.302,0.438,0.534,0.485,0.471,0.477,0.483,0.495
 ,Original,Metric25,Metric50,Metric75,Intervallic25,Intervallic50,Intervallic75,TIVCos25,TIVCos50,TIVCos75,TIVEuc25,TIVEuc50,TIVEuc75,AllCos25,AllCos50,AllCos75,AllEuc25,AllEuc50,AllEuc75
SIAM,0.019,0.041,0.065,0.019,0.018,0.02,0.019,0.018,0.02,0.019,0.018,0.02,0.019,0.018,0.02,0.019,0.018,0.02,0.019
Local Alignment,0.498,0.211,0.434,0.46,0.024,0.021,0.373,0.075,0.072,0.345,0.243,0.172,0.285,0.144,0.239,0.427,0.078,0.379,0.521
City Block,0.063,0.017,0.081,0.064,0.0,0.0,0.06,0.008,0.05,0.01,0.024,0.005,0.0,0.009,0.02,0.038,0.066,0.001,0.091
Euclidean,0.286,0.084,0.248,0.315,0.1,0.101,0.259,0.031,0.001,0.054,0.029,0.086,0.067,0.022,0.094,0.212,0.124,0.059,0.248
Hamming,0.133,0.028,0.055,0.141,0.0,0.006,0.006,0.047,0.014,0.292,0.037,0.033,0.121,0.069,0.062,0.025,0.17,0.011,0.341
Correlation,0.574,0.286,0.455,0.562,0.155,0.055,0.547,0.018,0.007,0.135,nan,0.173,0.16,0.0,0.091,0.373,0.145,0.203,0.472
Cardinality,0.408,0.105,0.275,0.365,0.381,0.359,0.358,0.348,0.421,0.412,0.398,0.301,0.382,0.45,0.419,0.406,0.49,0.455,0.46
