 ,Original,Metric25,Metric50,Metric75,Intervallic25,Intervallic50,Intervallic75,TIVCos25,TIVCos50,TIVCos75,TIVEuc25,TIVEuc50,TIVEuc75,AllCos25,AllCos50,AllCos75,AllEuc25,AllEuc50,AllEuc75
SIAM,0.627,0.454,0.526,0.592,0.353,0.562,0.649,0.148,0.148,0.561,0.376,0.517,0.59,0.399,0.554,0.611,0.404,0.411,0.566
Local Alignment,0.44,0.38,0.404,0.429,0.031,0.053,0.394,0.033,0.046,0.308,0.283,0.119,0.257,0.183,0.322,0.415,0.021,0.287,0.409
City Block,0.012,0.045,0.01,0.007,0.016,0.034,0.017,0.002,0.135,0.008,0.022,0.002,0.003,0.067,0.097,0.023,0.029,0.011,0.073
Euclidean,0.15,0.1,0.149,0.178,0.129,0.006,0.118,0.0,0.052,0.028,0.019,0.04,0.034,0.095,0.165,0.129,0.074,0.02,0.19
Hamming,0.088,0.071,0.063,0.099,0.017,0.005,0.032,0.019,0.003,0.28,0.058,0.054,0.115,0.166,0.146,0.041,0.09,0.009,0.225
Correlation,0.382,0.384,0.252,0.343,0.175,0.025,0.363,0.004,0.003,0.141,nan,0.331,0.067,0.026,0.236,0.304,0.129,0.114,0.359
Cardinality,0.193,0.039,0.072,0.131,0.25,0.176,0.262,0.173,0.157,0.237,0.245,0.123,0.208,0.422,0.221,0.196,0.226,0.284,0.285
 ,Original,Metric25,Metric50,Metric75,Intervallic25,Intervallic50,Intervallic75,TIVCos25,TIVCos50,TIVCos75,TIVEuc25,TIVEuc50,TIVEuc75,AllCos25,AllCos50,AllCos75,AllEuc25,AllEuc50,AllEuc75
SIAM,0.826,0.641,0.701,0.809,0.514,0.742,0.797,0.432,0.408,0.795,0.605,0.732,0.822,0.696,0.681,0.821,0.576,0.677,0.773
Local Alignment,0.521,0.242,0.487,0.492,0.015,0.057,0.416,0.023,0.046,0.364,0.308,0.158,0.277,0.145,0.291,0.433,0.045,0.321,0.45
City Block,0.065,0.007,0.082,0.052,0.002,0.023,0.024,0.001,0.061,0.001,0.066,0.022,0.001,0.02,0.044,0.034,0.043,0.0,0.036
Euclidean,0.303,0.083,0.285,0.296,0.104,0.034,0.172,0.001,0.002,0.03,0.078,0.139,0.089,0.036,0.127,0.194,0.096,0.06,0.164
Hamming,0.093,0.002,0.022,0.081,0.002,0.017,0.03,0.005,0.001,0.221,0.074,0.038,0.183,0.144,0.086,0.037,0.117,0.019,0.232
Correlation,0.724,0.373,0.628,0.628,0.175,0.08,0.45,0.021,0.0,0.1,nan,0.26,0.193,0.0,0.23,0.366,0.207,0.319,0.432
Cardinality,0.177,0.006,0.043,0.121,0.227,0.083,0.129,0.152,0.222,0.232,0.348,0.141,0.246,0.425,0.274,0.247,0.322,0.291,0.297
 ,Original,Metric25,Metric50,Metric75,Intervallic25,Intervallic50,Intervallic75,TIVCos25,TIVCos50,TIVCos75,TIVEuc25,TIVEuc50,TIVEuc75,AllCos25,AllCos50,AllCos75,AllEuc25,AllEuc50,AllEuc75
SIAM,0.817,0.675,0.716,0.814,0.59,0.722,0.737,0.383,0.407,0.745,0.51,0.761,0.773,0.742,0.67,0.808,0.596,0.642,0.768
Local Alignment,0.498,0.211,0.434,0.46,0.024,0.021,0.373,0.075,0.072,0.345,0.243,0.172,0.285,0.144,0.239,0.427,0.078,0.379,0.521
City Block,0.063,0.017,0.081,0.064,0.0,0.0,0.06,0.008,0.05,0.01,0.024,0.005,0.0,0.009,0.02,0.038,0.066,0.001,0.091
Euclidean,0.286,0.084,0.248,0.315,0.1,0.101,0.259,0.031,0.001,0.054,0.029,0.086,0.067,0.022,0.094,0.212,0.124,0.059,0.248
Hamming,0.133,0.028,0.055,0.141,0.0,0.006,0.006,0.047,0.014,0.292,0.037,0.033,0.121,0.069,0.062,0.025,0.17,0.011,0.341
Correlation,0.574,0.286,0.455,0.562,0.155,0.055,0.547,0.018,0.007,0.135,nan,0.173,0.16,0.0,0.091,0.373,0.145,0.203,0.472
Cardinality,0.228,0.019,0.098,0.151,0.221,0.189,0.155,0.205,0.285,0.266,0.32,0.143,0.244,0.396,0.268,0.237,0.421,0.341,0.338
